,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
68,KE202000001654,KE,2020.0,1654.0,R,-0.853864,36.946742,9999.0,1822.0,WGS84,POINT (36.94674209 -0.853864083),1654,12,1,0,12,12,7,1654,29,9,15,3,98,1654,102,0,central,25,75
69,KE202000001661,KE,2020.0,1661.0,R,-0.950173,36.964825,9999.0,1636.0,WGS84,POINT (36.96482485 -0.950172646),1661,11,0,0,11,11,4,1661,30,10,16,3,104,1661,106,0,central,15,91
70,KE202000001721,KE,2020.0,1721.0,R,1.927842,35.331409,9999.0,1159.0,WGS84,POINT (35.3314087 1.927841951),1721,27,6,0,27,27,11,1721,22,9,10,4,98,1721,98,0,rift valley,26,72
71,KE202000001726,KE,2020.0,1726.0,R,1.334182,35.504868,9999.0,1993.0,WGS84,POINT (35.50486843 1.334181967),1726,18,5,0,18,18,4,1726,29,11,17,5,159,1726,167,0,rift valley,24,143
72,KE202000001731,KE,2020.0,1731.0,R,1.323546,35.339379,9999.0,2215.0,WGS84,POINT (35.33937877 1.323546301),1731,30,8,0,30,30,2,1731,24,4,6,6,162,1731,173,0,rift valley,8,165
73,KE202000001783,KE,2020.0,1783.0,R,1.111827,35.248166,9999.0,2128.0,WGS84,POINT (35.24816622 1.111827052),1783,18,4,0,18,17,3,1783,24,7,14,5,128,1783,129,0,rift valley,16,113
74,KE202000001807,KE,2020.0,1807.0,R,0.050072,35.084606,9999.0,1844.0,WGS84,POINT (35.08460619 0.050071701),1807,9,0,0,9,9,6,1807,25,15,36,4,104,1807,104,0,rift valley,50,51
75,KE202000001839,KE,2020.0,1839.0,R,0.410235,36.25107,9999.0,1979.0,WGS84,POINT (36.25106982 0.410235173),1839,13,1,0,13,12,4,1839,28,11,25,4,113,1839,115,0,rift valley,22,83
76,KE202000001897,KE,2020.0,1897.0,R,-0.84857,35.083638,9999.0,1870.0,WGS84,POINT (35.08363766 -0.848569859),1897,14,0,0,14,14,6,1897,24,22,52,4,110,1897,115,0,rift valley,69,45
77,KE202000001906,KE,2020.0,1906.0,R,-0.888406,35.191726,9999.0,1854.0,WGS84,POINT (35.19172588 -0.888406444),1906,20,3,0,20,20,8,1906,29,22,38,5,146,1906,146,0,rift valley,57,89
78,KE202000001919,KE,2020.0,1919.0,R,0.505806,34.900429,9999.0,1645.0,WGS84,POINT (34.90042926 0.505806296),1919,14,6,0,14,14,6,1919,23,16,28,5,128,1919,128,0,western,37,91
79,KE202000001927,KE,2020.0,1927.0,R,0.281216,34.464371,9999.0,1353.0,WGS84,POINT (34.46437103 0.281215574),1927,16,10,0,16,16,7,1927,29,21,36,5,151,1927,152,0,western,45,106
80,KE202000001929,KE,2020.0,1929.0,R,0.185948,34.567413,9999.0,1407.0,WGS84,POINT (34.56741307 0.185948173),1929,7,3,0,7,7,5,1929,27,20,38,4,117,1929,118,0,western,58,60
81,KE202000001934,KE,2020.0,1934.0,R,0.028444,34.689937,9999.0,1548.0,WGS84,POINT (34.68993655 0.02844363),1934,18,3,0,18,17,10,1934,28,23,61,4,131,1934,137,0,western,67,60
82,KE202000001942,KE,2020.0,1942.0,R,-0.023656,34.526548,9999.0,1434.0,WGS84,POINT (34.52654772 -0.0236559),1942,9,2,0,9,9,5,1942,26,17,33,4,118,1942,119,0,western,57,62
83,KE202000001945,KE,2020.0,1945.0,R,-0.004643,34.70942,9999.0,1567.0,WGS84,POINT (34.70941953 -0.004643201),1945,10,3,0,10,10,4,1945,28,24,48,3,107,1945,110,0,western,59,50
84,KE202000001948,KE,2020.0,1948.0,R,0.159174,34.847511,9999.0,1689.0,WGS84,POINT (34.84751116 0.159174016),1948,15,3,0,15,15,8,1948,24,18,34,4,108,1948,114,0,western,54,58
85,KE202000001980,KE,2020.0,1980.0,R,0.028038,34.331753,9999.0,1375.0,WGS84,POINT (34.33175266 0.028037926),1980,9,2,0,9,9,7,1980,30,26,54,4,120,1980,125,0,nyanza,66,57
86,KE202000001985,KE,2020.0,1985.0,R,-0.179376,34.378358,9999.0,1179.0,WGS84,POINT (34.3783582 -0.179375517),1985,8,1,0,8,8,7,1985,30,29,62,3,117,1985,121,0,nyanza,94,25
87,KE202000001990,KE,2020.0,1990.0,R,-0.051463,34.585933,9999.0,1515.0,WGS84,POINT (34.58593313 -0.051463276),1990,11,3,0,11,8,6,1990,30,22,49,4,132,1990,132,0,nyanza,63,62
88,KE202000002001,KE,2020.0,2001.0,R,-0.40077,35.005442,9999.0,1553.0,WGS84,POINT (35.00544209 -0.40077042),2001,9,1,0,9,9,5,2001,27,21,44,4,111,2001,111,0,nyanza,55,50
89,KE202000002049,KE,2020.0,2049.0,R,-0.555814,34.935618,9999.0,2021.0,WGS84,POINT (34.93561826 -0.555813552),2049,10,0,0,10,8,6,2049,30,22,59,3,110,2049,113,0,nyanza,51,60
90,KE202000002100,KE,2020.0,2100.0,U,-1.226418,36.916309,9999.0,1580.0,WGS84,POINT (36.91630925 -1.226418208),2100,5,0,5,0,5,3,2100,18,15,41,3,60,2100,65,65,nairobi,26,20
91,KE202000002112,KE,2020.0,2112.0,U,-1.243303,36.811225,9999.0,1714.0,WGS84,POINT (36.81122474 -1.243303322),2112,1,0,1,0,1,1,2112,12,5,12,1,21,2112,21,21,nairobi,4,15
92,KE202000002121,KE,2020.0,2121.0,U,-1.306749,36.893506,9999.0,1620.0,WGS84,POINT (36.89350649 -1.306749315),2121,5,1,5,0,5,5,2121,22,19,21,1,41,2121,41,41,nairobi,18,10
93,KE202000002140,KE,2020.0,2140.0,U,-4.012838,39.69589,9999.0,30.0,WGS84,POINT (39.6958897 -4.012837896),2140,12,3,12,0,12,6,2140,25,13,22,3,96,2140,99,99,coast,13,80
94,KE202000002144,KE,2020.0,2144.0,U,-4.034569,39.686857,9999.0,25.0,WGS84,POINT (39.68685731 -4.034568755),2144,14,5,14,0,14,4,2144,30,20,27,3,93,2144,98,98,coast,24,69
95,KE202000002154,KE,2020.0,2154.0,U,-3.99868,39.624774,9999.0,57.0,WGS84,POINT (39.62477368 -3.998679526),2154,13,3,13,0,13,4,2154,27,20,42,3,86,2154,86,86,coast,23,32
96,KE202000002192,KE,2020.0,2192.0,U,-0.465441,39.594777,9999.0,156.0,WGS84,POINT (39.59477682 -0.465440767),2192,9,1,9,0,9,3,2192,20,15,42,5,115,2192,117,117,coast,30,48
97,KE202000002202,KE,2020.0,2202.0,U,-3.493855,38.385977,9999.0,844.0,WGS84,POINT (38.3859773 -3.493854793),2202,11,0,11,0,11,10,2202,26,20,35,3,79,2202,80,80,coast,47,28
98,KE202000002207,KE,2020.0,2207.0,U,-3.381185,37.667898,9999.0,789.0,WGS84,POINT (37.66789823 -3.381184797),2207,16,1,16,0,16,11,2207,27,17,42,3,89,2207,89,89,coast,49,26
99,KE202000002239,KE,2020.0,2239.0,U,0.359192,37.573915,9999.0,1087.0,WGS84,POINT (37.57391516 0.359192488),2239,12,1,12,0,12,10,2239,30,24,64,4,124,2239,125,125,eastern,76,28
100,KE202000002248,KE,2020.0,2248.0,U,0.050088,37.657171,9999.0,1569.0,WGS84,POINT (37.65717116 0.050088445),2248,6,0,6,0,6,4,2248,21,11,20,2,54,2248,56,56,eastern,17,37
101,KE202000002256,KE,2020.0,2256.0,U,0.219499,37.927524,9999.0,1615.0,WGS84,POINT (37.92752397 0.219499411),2256,9,0,9,0,9,3,2256,29,14,24,3,99,2256,99,99,eastern,28,67
102,KE202000002264,KE,2020.0,2264.0,U,-0.587586,37.635827,9999.0,1177.0,WGS84,POINT (37.63582726 -0.587585973),2264,9,0,9,0,9,6,2264,28,24,48,2,79,2264,79,79,eastern,50,16
103,KE202000002265,KE,2020.0,2265.0,U,-1.367529,38.009176,9999.0,1143.0,WGS84,POINT (38.00917576 -1.367529485),2265,12,0,12,0,12,7,2265,24,18,32,2,70,2265,70,70,eastern,38,17
104,KE202000002285,KE,2020.0,2285.0,U,-0.319909,36.901901,9999.0,1900.0,WGS84,POINT (36.90190118 -0.319909463),2285,7,0,7,0,7,0,2285,25,4,6,2,62,2285,62,62,central,1,54
105,KE202000002304,KE,2020.0,2304.0,U,-1.185783,36.892238,9999.0,1578.0,WGS84,POINT (36.89223814 -1.185782601),2304,7,2,7,0,7,1,2304,23,14,35,3,86,2304,90,90,central,8,41
106,KE202000002353,KE,2020.0,2353.0,U,0.888894,34.916471,9999.0,1791.0,WGS84,POINT (34.91647083 0.888894482),2353,13,4,13,0,13,6,2353,27,16,33,3,97,2353,97,97,rift valley,34,58
107,KE202000002365,KE,2020.0,2365.0,U,0.541361,35.245507,9999.0,2053.0,WGS84,POINT (35.24550707 0.541360654),2365,6,3,6,0,6,3,2365,28,14,22,2,70,2365,70,70,rift valley,17,50
108,KE202000002387,KE,2020.0,2387.0,U,0.98174,35.555747,9999.0,2334.0,WGS84,POINT (35.55574707 0.981740041),2387,12,0,12,0,12,5,2387,23,8,14,2,68,2387,69,69,rift valley,26,43
109,KE202000002400,KE,2020.0,2400.0,U,-0.005752,35.947375,9999.0,1560.0,WGS84,POINT (35.94737475 -0.005752127),2400,7,0,7,0,7,5,2400,22,16,28,2,59,2400,61,61,rift valley,35,25
110,KE202000002416,KE,2020.0,2416.0,U,0.039686,36.381621,9999.0,2357.0,WGS84,POINT (36.38162053 0.039685618),2416,12,0,12,0,11,2,2416,25,8,11,2,64,2416,64,64,rift valley,7,57
111,KE202000002425,KE,2020.0,2425.0,U,-0.236737,36.117341,9999.0,1961.0,WGS84,POINT (36.11734098 -0.236737177),2425,11,1,11,0,11,5,2425,25,8,11,3,78,2425,78,78,rift valley,19,58
112,KE202000002431,KE,2020.0,2431.0,U,-0.247127,35.731551,9999.0,2497.0,WGS84,POINT (35.73155088 -0.247126928),2431,10,0,10,0,10,3,2431,21,7,9,2,53,2431,54,54,rift valley,11,40
113,KE202000002437,KE,2020.0,2437.0,U,-1.083242,35.874958,9999.0,1895.0,WGS84,POINT (35.87495837 -1.083241536),2437,5,0,5,0,5,2,2437,23,10,16,2,62,2437,62,62,rift valley,24,37
114,KE202000002450,KE,2020.0,2450.0,U,-1.410707,36.766301,9999.0,1742.0,WGS84,POINT (36.76630075 -1.410706987),2450,7,1,7,0,7,3,2450,22,11,17,2,58,2450,58,58,rift valley,14,28
115,KE202000002463,KE,2020.0,2463.0,U,0.200914,34.496389,9999.0,1345.0,WGS84,POINT (34.49638866 0.20091448),2463,14,2,14,0,14,9,2463,28,20,41,4,119,2463,120,120,western,66,51
116,KE202000002467,KE,2020.0,2467.0,U,0.038741,34.581057,9999.0,1514.0,WGS84,POINT (34.58105662 0.03874127),2467,4,2,4,0,4,3,2467,24,16,22,2,63,2467,64,64,western,34,28
117,KE202000002499,KE,2020.0,2499.0,U,-0.102928,34.757557,9999.0,1134.0,WGS84,POINT (34.75755661 -0.102928021),2499,4,1,4,0,4,2,2499,26,20,42,2,60,2499,62,62,nyanza,20,24
118,KE202000002523,KE,2020.0,2523.0,U,-0.658024,34.757987,9999.0,1657.0,WGS84,POINT (34.7579868 -0.658023669),2523,11,2,11,0,11,5,2523,26,14,29,3,90,2523,90,90,nyanza,36,50
119,KE202000002537,KE,2020.0,2537.0,U,1.776596,40.041094,9999.0,263.0,WGS84,POINT (40.04109387 1.776596345),2537,21,8,21,0,21,8,2537,29,25,68,5,171,2537,175,175,north eastern,66,56
120,KE202000002549,KE,2020.0,2549.0,U,-0.114141,37.947254,9999.0,641.0,WGS84,POINT (37.94725372 -0.114140614),2549,11,0,11,0,11,9,2549,28,21,36,3,110,2549,110,110,eastern,49,53
121,KE202000002558,KE,2020.0,2558.0,U,-1.385436,36.994182,9999.0,1574.0,WGS84,POINT (36.99418163 -1.385436378),2558,11,0,11,0,11,3,2558,25,12,21,4,103,2558,104,104,eastern,29,73
122,KE202000002614,KE,2020.0,2614.0,U,0.189941,35.063014,9999.0,1959.0,WGS84,POINT (35.06301386 0.189940665),2614,14,3,14,0,14,7,2614,27,16,28,3,107,2614,107,107,rift valley,36,65
123,KE202000002616,KE,2020.0,2616.0,U,0.22804,35.150804,9999.0,1967.0,WGS84,POINT (35.15080404 0.228040374),2616,8,1,8,0,8,4,2616,28,20,39,4,119,2616,122,122,rift valley,63,56
