,DHSID,DHSCC_hhm,DHSYEAR_hhm,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net,pop2020,arid_20,DLST_20,DTemp20,EVI20,FD_20,ITN_20,LST_20,MI_20,MP_20,Matemp20,Meantem20,Mintem20,NLST20,PET_20,Prec20,Rain20,U5pop20,UNpopc20,UNpop20,WD_20,GPS_Dataset,DHSCC_cov,DHSYEAR_cov,SurveyID,D.e,Elev,Global_Human_Footprint,Growing_Season_Length,Irrigation,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Nightligh
167,KE202000003774,KE,2020.0,3774.0,U,-0.366717,35.283842,9999.0,2014.0,WGS84,POINT (35.28384206 -0.366716538),3774,6,1,6,0,6,0,3774,22,14,30,2,48,3774,49,49,rift valley,12,30,56030.65625,48.59212112,25.18384171,13.86924171,0.517608166,0.014904514,0.371599078,17.58584976,0.10988453,0.073645316,26.68148232,19.7222805,12.81223965,9.987858772,3.823611259,185.7973785,2676.687988,7722.561523,45513.69531,2115.585205,22.20588303,KEGE81FL,KE,2020,KE2020DHS,4.0,2002.963867,58.34919357,14,0.0,98.80619049,580.913269,26.8894577,0.718211293,63.02503967,0.765332639
168,KE202000003778,KE,2020.0,3778.0,U,0.213784,34.766976,9999.0,1583.0,WGS84,POINT (34.76697632 0.213783865),3778,6,1,6,0,6,3,3778,23,22,53,2,51,3778,53,53,western,34,8,29517.93164,45.79549789,26.90161514,14.29017639,0.450106919,0.0,0.528320611,21.71365356,0.213450626,0.175721765,29.05467415,21.87743187,14.7644968,16.52569008,4.202503204,192.4557343,3108.625,4355.260742,26284.25391,1221.741333,19.9294548,KEGE81FL,KE,2020,KE2020DHS,,1533.147461,29.27501488,13,0.323515356,24.68591118,781.2415161,5.812876225,13.75091362,9.816267967,0.16181916
169,KE202000003779,KE,2020.0,3779.0,U,0.831441,35.117465,9999.0,1855.0,WGS84,POINT (35.11746496 0.83144085),3779,5,1,5,0,5,1,3779,22,17,36,3,76,3779,78,78,western,44,22,23269.76953,38.46929169,27.16590118,14.09852409,0.402557999,0.000299479,0.516738594,20.67210388,0.156954333,0.118925817,25.908638,18.83086014,11.81011295,14.17830467,3.870442867,148.8931885,2005.985352,3605.108154,22012.53125,1023.278259,18.58786392,KEGE81FL,KE,2020,KE2020DHS,1.0,1828.726563,38.71517181,10,0.071256772,115.965744,832.3502197,8.676888466,12.33638477,24.13521957,0.088652126
170,KE202000003784,KE,2020.0,3784.0,U,0.09801,34.737259,9999.0,1571.0,WGS84,POINT (34.73725851 0.09800958),3784,12,4,12,0,11,8,3784,28,20,34,3,99,3784,99,99,western,48,49,40775.92578,42.63578796,26.83461571,13.90772629,0.445522636,0.0,0.506122589,21.61062241,0.256841749,0.242721856,29.34975433,22.36481476,15.442029,16.38663101,4.225679874,180.1651917,3023.078857,5532.459473,36576.28125,1700.123169,19.70766068,KEGE81FL,KE,2020,KE2020DHS,,1569.091797,35.33821106,13,0.159228757,428.6808777,645.6022339,48.39250946,5.724911213,44.24759674,0.189795122
171,KE202000003858,KE,2020.0,3858.0,U,-2.279335,40.879498,9999.0,7.0,WGS84,POINT (40.87949833 -2.279334969),3858,9,1,9,0,9,3,3858,27,19,48,3,100,3858,103,103,coast,39,38,23790.82031,12.10352898,29.41707039,6.792766571,0.35765925,0.0,0.589056671,26.642416,0.066244386,0.042584501,31.49207306,28.0665226,24.69930649,23.86776161,4.693749905,56.81093979,1342.380005,3298.929688,21614.37109,1277.935913,9.297476768,KEGE81FL,KE,2020,KE2020DHS,7.0,7.094432831,29.41768265,6,0.0,6.590949535,49.83362198,95.95736694,0.0,20.41834831,0.336458385
172,KE202000003876,KE,2020.0,3876.0,U,-0.31049,37.625985,9999.0,1452.0,WGS84,POINT (37.62598503 -0.310490006),3876,8,0,8,0,8,2,3876,27,12,21,2,69,3876,69,69,eastern,20,43,23791.70703,27.5944252,25.61701393,11.65625,0.4814215,0.094943576,0.411775649,20.53282738,0.074997321,0.047170043,26.58420181,20.72313499,14.92795181,15.44864178,3.837890625,105.9043884,1802.657227,2714.133301,20334.84961,945.208252,13.50965691,KEGE81FL,KE,2020,KE2020DHS,9.0,1413.189453,35.64333344,8,2.686999798,11.21098804,486.0047607,38.80228043,0.055462342,5.884599209,0.319230705
173,KE202000003878,KE,2020.0,3878.0,U,-0.320165,37.67917,9999.0,1313.0,WGS84,POINT (37.67916972 -0.320164769),3878,7,0,7,0,7,5,3878,28,16,36,2,79,3878,80,80,eastern,34,36,12423.96289,25.43254852,27.76875305,11.74375057,0.422029048,0.056966145,0.441842318,22.30150986,0.069983475,0.043241046,27.23593712,21.33138084,15.4921875,16.83426666,3.950651169,100.4751282,1641.680176,1392.865234,12664.47363,588.6724243,13.03808594,KEGE81FL,KE,2020,KE2020DHS,9.0,1254.514648,31.33736992,8,2.652076006,8.662986755,257.3260193,33.55907059,0.005422521,3.53182888,0.023724774
174,KE202000003898,KE,2020.0,3898.0,U,-1.14714,37.528775,9999.0,1261.0,WGS84,POINT (37.52877524 -1.147139999),3898,4,0,4,0,4,1,3898,28,18,31,3,103,3898,105,105,eastern,47,57,8122.255859,19.48582268,31.25582314,11.82248306,0.30767855,0.0,0.403883338,24.73265839,0.050502308,0.030369356,28.02802467,22.0868206,16.20554161,18.20949173,4.059505463,79.10280609,989.6329956,1064.552368,6677.326172,310.4341736,11.34952831,KEGE81FL,KE,2020,KE2020DHS,9.0,1235.40918,32.22797012,7,1.146219015,53.69113541,197.8927765,80.3582077,0.071181834,8.460184097,0.086183354
175,KE202000003908,KE,2020.0,3908.0,U,-0.35633,36.391525,9999.0,2301.0,WGS84,POINT (36.39152461 -0.356329892),3908,9,1,9,0,9,4,3908,26,13,20,3,95,3908,98,98,central,17,78,4586.966797,37.12283707,25.0771122,12.92128181,0.37678656,0.203670427,0.308463365,16.46883202,0.0,0.0,22.27028465,15.7904377,9.349001884,7.860551834,3.043272734,112.9749146,1376.217163,563.7313843,2690.959961,125.0822296,18.03695679,KEGE81FL,KE,2020,KE2020DHS,4.0,2279.568359,40.03248215,10,0.0,130.9711914,97.07230377,5.172681332,0.07749451,94.12601471,0.016139127
176,KE202000003930,KE,2020.0,3930.0,U,1.292019,35.031183,9999.0,1839.0,WGS84,POINT (35.03118304 1.292019457),3930,18,4,18,0,18,2,3930,25,5,7,5,146,3930,147,147,rift valley,13,134,2157.871826,40.15784454,28.47545624,13.7618494,0.372283518,0.002460937,0.526219726,22.85323334,0.174317762,0.124812037,25.28737068,18.39045143,11.52552128,17.23100853,3.711328268,149.0389404,1716.558716,378.9008789,2335.701904,108.5954132,18.83989143,KEGE81FL,KE,2020,KE2020DHS,1.0,1546.056641,33.95533752,10,0.0,48.03814697,75.41268921,15.14348984,0.011790112,19.6887188,0.0
177,KE202000003955,KE,2020.0,3955.0,U,-0.791836,35.330779,9999.0,1928.0,WGS84,POINT (35.3307787 -0.791836463),3955,18,3,18,0,18,8,3955,27,23,50,4,123,3955,123,123,rift valley,66,57,11753.52539,45.0639801,27.08041191,14.12057304,0.449868083,0.070729166,0.345172584,19.88582993,0.066141166,0.0377561,25.5699234,18.48645973,11.4493494,12.69124603,3.569661617,160.8631592,1950.766113,1811.983398,9648.060547,448.5013428,21.22769547,KEGE81FL,KE,2020,KE2020DHS,4.0,1920.517578,37.57095718,14,0.373694509,120.2004089,329.5442505,42.37103271,0.0,41.31283951,0.015012786
178,KE202000003976,KE,2020.0,3976.0,U,0.113871,34.759071,9999.0,1592.0,WGS84,POINT (34.75907058 0.113870778),3976,6,3,6,0,6,5,3976,26,15,35,3,79,3976,80,80,western,40,37,33301.26172,43.10860062,26.58774567,13.91665268,0.455013633,0.0,0.498187572,21.41687584,0.235235423,0.212883338,29.17437744,22.18576431,15.25772572,16.24600601,4.213353634,181.6317749,3035.091064,4518.300781,31023.48633,1442.020508,19.76763916,KEGE81FL,KE,2020,KE2020DHS,,1609.901367,31.58337212,13,0.477686256,508.3993225,693.7630005,55.34165955,7.053854942,51.28331375,0.149191827
179,KE202000003978,KE,2020.0,3978.0,U,0.073774,34.727038,9999.0,1567.0,WGS84,POINT (34.72703822 0.073774146),3978,7,0,7,0,7,5,3978,28,22,45,3,98,3978,100,100,western,64,36,44422.875,41.7228508,26.67604446,13.77769089,0.439761072,0.0,0.493371397,21.56826782,0.258438706,0.245260179,29.38103294,22.46180534,15.60334206,16.46049309,4.228949547,176.4438324,2938.811768,6082.478027,35711.98047,1659.947388,19.64261627,KEGE81FL,KE,2020,KE2020DHS,,1621.65332,39.61427307,13,0.477686286,339.8562622,665.1528931,40.98399353,4.964568615,40.76519775,0.235674009
180,KE202000003999,KE,2020.0,3999.0,U,-0.165896,34.944182,9999.0,1168.0,WGS84,POINT (34.94418175 -0.165896343),3999,14,1,14,0,14,9,3999,28,27,63,3,101,3999,101,101,nyanza,81,8,11427.85449,41.25899506,30.14554977,13.32643223,0.399063915,0.0,0.53202635,24.29878235,0.189970374,0.156576544,28.45742226,21.76909828,15.13099003,18.45201302,4.118272781,169.915802,2258.344727,1807.157471,13347.40332,620.4092407,20.29221725,KEGE81FL,KE,2020,KE2020DHS,,1160.175781,36.545578,13,3.469833374,36.98219299,270.133667,25.33784676,0.327936202,25.43354034,0.061417501
